time,"[inertial_nav_node_[imu]]\omega_{ib,x}^b_rad/s","[inertial_nav_node_[imu]]\omega_{ib,y}^b_rad/s","[inertial_nav_node_[imu]]\omega_{ib,z}^b_rad/s","[inertial_nav_node_[imu]]f_{ib,x}^b_m/s^2","[inertial_nav_node_[imu]]f_{ib,y}^b_m/s^2","[inertial_nav_node_[imu]]f_{ib,z}^b_m/s^2",[inertial_nav_node_[gps]]lat_rad,[inertial_nav_node_[gps]]lon_rad,[inertial_nav_node_[gps]]alt_m,[inertial_nav_node_[gps]]num_sats_?,[inertial_nav_node_[gps]]y_1_?,[inertial_nav_node_[gps]]y_2_?,[inertial_nav_node_[gps]]y_3_?,[inertial_nav_node_[gps]]y_bar_1_?,[inertial_nav_node_[gps]]y_bar_2_?,[inertial_nav_node_[gps]]y_bar_3_?,[inertial_nav_node_[gps]]P_yy_1_?,[inertial_nav_node_[gps]]P_yy_2_?,[inertial_nav_node_[gps]]P_yy_3_?,[inertial_nav_node_[gps]]P_yy_4_?,[inertial_nav_node_[gps]]P_yy_5_?,[inertial_nav_node_[gps]]P_yy_6_?,[inertial_nav_node_[gps]]P_yy_7_?,[inertial_nav_node_[gps]]P_yy_8_?,[inertial_nav_node_[gps]]P_yy_9_?,[inertial_nav_node_[gps]]innovation_1_?,[inertial_nav_node_[gps]]innovation_2_?,[inertial_nav_node_[gps]]innovation_3_?,[inertial_nav_node_[gps]]threshold_1_?,[inertial_nav_node_[gps]]threshold_2_?,[inertial_nav_node_[gps]]threshold_3_?,[inertial_nav_node_[gps]]accepted_?,[inertial_nav_node_[gps]]has\_lock_bool,[inertial_nav_node_[mag]]mx_Gauss,[inertial_nav_node_[mag]]my_Gauss,[inertial_nav_node_[mag]]mz_Gauss,[inertial_nav_node_[x]]roll_rad,[inertial_nav_node_[x]]pitch_rad,[inertial_nav_node_[x]]yaw_rad,[inertial_nav_node_[x]]v_x_m/s,[inertial_nav_node_[x]]v_y_m/s,[inertial_nav_node_[x]]v_z_m/s,[inertial_nav_node_[x]]lat_rad,[inertial_nav_node_[x]]lon_rad,[inertial_nav_node_[x]]alt_m,[inertial_nav_node_[x]]bgx_rad/s,[inertial_nav_node_[x]]bgy_rad/s,[inertial_nav_node_[x]]bgz_rad/s,[inertial_nav_node_[x]]bax_m/s^2,[inertial_nav_node_[x]]bay_m/s^2,[inertial_nav_node_[x]]baz_m/s^2,[inertial_nav_node_[P]]cov_roll_rad^2,[inertial_nav_node_[P]]cov_pitch_rad^2,[inertial_nav_node_[P]]cov_yaw_rad^2,[inertial_nav_node_[P]]cov_v_x_(m/s)^2,[inertial_nav_node_[P]]cov_v_y_(m/s)^2,[inertial_nav_node_[P]]cov_v_z_(m/s)^2,[inertial_nav_node_[P]]cov_lat_rad^2,[inertial_nav_node_[P]]cov_lon_rad^2,[inertial_nav_node_[P]]cov_alt_m^2,[inertial_nav_node_[P]]cov_bgx_(rad/s)^2,[inertial_nav_node_[P]]cov_bgy_(rad/s)^2,[inertial_nav_node_[P]]cov_bgz_(rad/s)^2,[inertial_nav_node_[P]]cov_bax_(m/s^2)^2,[inertial_nav_node_[P]]cov_bay_(m/s^2)^2,[inertial_nav_node_[P]]cov_baz_(m/s^2)^2,[inertial_nav_node_[depth]]-1.041788751e-03_5.294138127e-02,[inertial_nav_node_[depth]]4.683619436e-02_3.817346221e-01,[inertial_nav_node_[depth]]1.000061643e+02_2.366511429e-04,[inertial_nav_node_[depth]]-4.787798311e-02_-3.287932408e-01,[inertial_nav_node_[depth]]0.000000000e+00_0.000000000e+00,[inertial_nav_node_[depth]]1_1,[inertial_nav_node_[dvl]]-4.360178984e-03_-2.998190319e-03,[inertial_nav_node_[dvl]]-3.096704039e-03_1.695921844e-02,[inertial_nav_node_[dvl]]4.529677081e-03_3.036092400e-02,[inertial_nav_node_[dvl]]-4.135820899e-05_-5.300162049e-03,[inertial_nav_node_[dvl]]-4.840362620e-01_-1.499653186e+00,[inertial_nav_node_[dvl]]-1.170965101e+00_-3.198155640e+00,[inertial_nav_node_[dvl]]1.158791457e-02_3.531977466e-04,[inertial_nav_node_[dvl]]1.088407747e-02_6.819738781e-04,[inertial_nav_node_[dvl]]1.088292512e-02_3.823290576e-04,[inertial_nav_node_[dvl]]-4.318820775e-03_2.301971730e-03,[inertial_nav_node_[dvl]]4.809395580e-01_1.516612405e+00,[inertial_nav_node_[dvl]]1.175494778e+00_3.228516564e+00,[inertial_nav_node_[dvl]]0.000000000e+00_0.000000000e+00,[inertial_nav_node_[dvl]]0.000000000e+00_0.000000000e+00,[inertial_nav_node_[dvl]]0.000000000e+00_0.000000000e+00,[inertial_nav_node_[dvl]]1_1
1681084482.0159082,5.565337225e-05,-5.042158076e-05,-5.334495739e-05,3.865094933e-03,-4.257967945e-03,-9.796634018e+00,10,6.467839662e-01,-1.406985679e+00,-5.453993238e-01,0.000000000e+00,0.000000000e+00,6.467833206e-01,-1.406985905e+00,-1.669278341e+00,1.259933162e+00,-1.453209690e+00,2.053095601e-13,2.053127926e-13,1.000000400e+02,1.139742768e-02,1.141657559e-02,6.455696713e-07,2.257183456e-07,1.123879017e+00,-1.259933162e+00,1.453209690e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35535,-0.35348,-0.00162,-2.275480125e+00,-1.881892649e-02,7.902865439e-01,7.377841735e-01,-9.194217524e-01,4.561573296e+00,6.467834474e-01,-1.406985701e+00,-1.148651020e+00,-1.501035516e-10,1.686007842e-12,2.027895962e-11,2.343399624e-05,3.370220381e-04,-1.335986465e-03,4.302499718e-05,4.240806551e-05,3.128771342e-06,1.111337214e-03,1.126870201e-03,1.353950252e-04,5.132797589e-14,5.132880884e-14,1.254037964e-04,6.941157470e-14,6.941157470e-14,6.941157470e-14,1.691001675e-07,1.691003462e-07,1.690957084e-07,5.705992377e-04,1.275217553e+00,1.180558333e-04,-1.274646954e+00,0.000000000e+00,1,1.197556815e-03,1.053719103e-03,2.463000469e-03,-4.265736388e-02,-3.862655501e+00,-5.465714248e+00,3.378172324e-03,1.054666858e-03,6.489123492e-04,4.385492069e-02,3.863709220e+00,5.468177248e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.1159081,1.200109090e-04,-4.882099123e-05,-1.008725807e-04,1.376903680e-03,3.042196026e-04,-9.799319509e+00,10,6.467839662e-01,-1.406985679e+00,-5.453993238e-01,0.000000000e+00,0.000000000e+00,6.467833206e-01,-1.406985905e+00,-1.669278341e+00,1.259933162e+00,-1.453209690e+00,2.053095601e-13,2.053127926e-13,1.000000400e+02,1.139742768e-02,1.141657559e-02,6.455696713e-07,2.257183456e-07,1.123879017e+00,-1.259933162e+00,1.453209690e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35096,-0.35198,0.00004,-2.275480751e+00,-1.881722389e-02,7.902963159e-01,1.103243646e+00,-1.293009940e+00,5.691821709e+00,6.467834578e-01,-1.406985717e+00,-1.513170909e+00,-1.501035516e-10,1.686007842e-12,2.027895962e-11,2.343399624e-05,3.370220381e-04,-1.335986465e-03,4.304638553e-05,4.242889845e-05,3.143086704e-06,1.307880509e-03,1.325892467e-03,2.032546973e-04,5.132898826e-14,5.133041256e-14,1.310580838e-04,6.942774540e-14,6.942774540e-14,6.942774540e-14,1.691395628e-07,1.691397415e-07,1.691351037e-07,5.705992377e-04,1.275217553e+00,1.180558333e-04,-1.274646954e+00,0.000000000e+00,1,-9.894423450e-03,3.466675465e-03,2.093476083e-03,-1.406718409e-02,-4.074891725e+00,-6.495690497e+00,2.530203290e-04,2.846818896e-04,2.346472800e-04,4.172760635e-03,4.078358400e+00,6.497783973e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.215908,7.171999783e-05,-5.036091516e-05,1.660368568e-05,1.183085830e-03,3.857064281e-03,-9.796400611e+00,10,6.467841707e-01,-1.406986307e+00,7.431163571e-01,0.000000000e+00,0.000000000e+00,6.467833947e-01,-1.406985667e+00,-2.434829550e+00,-2.035411813e-02,9.826548466e-01,1.924805573e-13,1.924832006e-13,1.000000424e+02,1.164959997e-02,1.161756744e-02,7.759361386e-07,-6.402376125e-07,3.177945907e+00,2.035411813e-02,-9.826548466e-01,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35349,-0.35214,-0.00164,-2.701146989e+00,9.249495761e-02,7.615828075e-01,-2.289246550e-01,1.130160912e+00,7.720155508e+00,6.467835427e-01,-1.406985504e+00,-1.813046100e+00,3.208818769e-10,1.582460604e-10,-2.137308914e-11,-5.052086436e-05,7.275246146e-04,-2.977046005e-03,3.126453063e-05,3.193396143e-05,3.167404642e-06,1.419509539e-03,1.391991370e-03,2.669581935e-04,3.849823793e-14,3.850011894e-14,1.134139283e-04,6.946239687e-14,6.946239687e-14,6.946239690e-14,1.692093103e-07,1.692144507e-07,1.692086791e-07,-1.990772433e-04,2.633670665e+00,1.316163436e-04,-2.633869743e+00,0.000000000e+00,1,9.537064376e-03,1.502305929e-02,1.209906674e-02,-9.946510963e-02,-4.763016169e+00,-8.114540616e+00,2.327629200e-04,2.380246451e-04,2.238842189e-04,1.090021740e-01,4.778039228e+00,8.126639683e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.315908,6.433888162e-05,-6.489049237e-05,-1.662103430e-05,2.068967430e-03,9.215774427e-04,-9.799434629e+00,10,6.467838179e-01,-1.406985705e+00,-2.191376226e-01,0.000000000e+00,0.000000000e+00,6.467833694e-01,-1.406986188e+00,-2.937166267e+00,-2.673324921e+00,-5.263709044e+00,1.847804346e-13,1.847834258e-13,1.000000575e+02,1.168348037e-02,1.180690144e-02,4.485383597e-07,4.825235160e-07,2.718028644e+00,2.673324921e+00,5.263709044e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35305,-0.35434,0.00026,-2.690071155e+00,7.730916913e-02,7.623770682e-01,1.963759297e-01,6.637669320e-01,1.010403532e+01,6.467836969e-01,-1.406985617e+00,-2.996060235e+00,3.134604876e-10,1.512230286e-10,-2.366348145e-11,-3.855945905e-05,7.181553520e-04,-2.978907686e-03,2.699065522e-05,2.743926717e-05,3.212043590e-06,1.654136723e-03,1.626106841e-03,3.221575585e-04,3.080008482e-14,3.080238531e-14,1.217138601e-04,6.949242817e-14,6.949242817e-14,6.949242820e-14,1.692786785e-07,1.692857312e-07,1.692817866e-07,-1.990772433e-04,2.633670665e+00,1.316163436e-04,-2.633869743e+00,0.000000000e+00,1,9.537064376e-03,1.502305929e-02,1.209906674e-02,-9.946510963e-02,-4.763016169e+00,-8.114540616e+00,2.327629200e-04,2.380246451e-04,2.238842189e-04,1.090021740e-01,4.778039228e+00,8.126639683e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.4159079,6.356207279e-05,-6.956632900e-05,-5.300681479e-05,-2.496855697e-03,-1.276682879e-03,-9.795537917e+00,10,6.467838179e-01,-1.406985705e+00,-2.191376226e-01,0.000000000e+00,0.000000000e+00,6.467833694e-01,-1.406986188e+00,-2.937166267e+00,-2.673324921e+00,-5.263709044e+00,1.847804346e-13,1.847834258e-13,1.000000575e+02,1.168348037e-02,1.180690144e-02,4.485383597e-07,4.825235160e-07,2.718028644e+00,2.673324921e+00,5.263709044e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35392,-0.35415,0.00067,-2.471547418e+00,-4.961011935e-01,8.953708991e-01,-2.056989101e+00,-4.426801770e+00,9.782230801e+00,6.467835784e-01,-1.406985893e+00,-3.640544816e+00,3.251911062e-10,-7.235269468e-11,-1.933094674e-10,4.929040055e-04,5.898890291e-04,-6.417674907e-03,2.008620948e-05,1.883181500e-05,3.231807738e-06,1.443868972e-03,1.534607860e-03,2.863781998e-04,2.566800430e-14,2.567118124e-14,9.928034099e-05,6.952476954e-14,6.952476953e-14,6.952476960e-14,1.693263398e-07,1.693384144e-07,1.693340357e-07,-1.879084211e-02,1.349586474e+00,1.497814480e-04,-1.368377317e+00,0.000000000e+00,1,-8.115221270e-03,8.605964940e-03,-1.738881773e-02,9.534487751e-01,-6.368241698e+00,-1.088841640e+01,6.768862240e-04,3.139416953e-04,5.152283589e-04,-9.615639964e-01,6.376847663e+00,1.087102758e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.5159078,7.311186932e-05,-4.673442323e-05,-1.155288740e-05,-3.714191686e-03,7.311153750e-04,-9.797923930e+00,10,6.467834176e-01,-1.406985916e+00,5.701084574e-01,0.000000000e+00,0.000000000e+00,6.467845954e-01,-1.406986195e+00,-1.737237226e+00,1.325617471e+01,-4.929634211e+00,1.796471740e-13,1.796551856e-13,1.000000431e+02,1.048842501e-02,1.094408106e-02,-1.177816573e-06,2.792125795e-07,2.307345683e+00,-1.325617471e+01,4.929634211e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35334,-0.35453,-0.00190,-1.525016096e+00,3.876977047e-01,1.069886965e+00,1.221155074e+01,-2.551450711e+00,7.649872723e+00,6.467845435e-01,-1.406985727e+00,-1.707799013e+00,-1.132002587e-09,1.852694951e-09,-2.055616972e-09,-2.538874130e-03,-1.399395585e-03,-8.884860304e-03,1.286012121e-05,5.190265426e-06,2.386890694e-06,5.333759227e-04,1.333356636e-03,3.262823123e-04,2.566645595e-14,2.567586548e-14,5.342460935e-05,6.955942097e-14,6.955942099e-14,6.955942101e-14,1.693845354e-07,1.693961649e-07,1.693949070e-07,-1.879084211e-02,1.349586474e+00,1.497814480e-04,-1.368377317e+00,0.000000000e+00,1,1.009087972e-02,1.426774915e-02,4.720646825e-04,-7.686910639e-02,-1.029652183e+01,-1.291852512e+01,3.962856218e-04,6.433785000e-04,2.713721919e-04,8.695998610e-02,1.031078958e+01,1.291899719e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.6159077,1.024629817e-04,-4.499778383e-06,-4.219867664e-06,1.660192804e-03,-1.692798090e-03,-9.795421871e+00,10,6.467845459e-01,-1.406986203e+00,-8.019253630e-01,0.000000000e+00,0.000000000e+00,6.467838030e-01,-1.406986648e+00,-3.078126624e+00,4.619053117e+00,-9.132139139e+00,1.759789213e-13,1.759867195e-13,1.000000331e+02,1.019345309e-02,1.071034137e-02,7.428584349e-07,4.458339955e-07,2.276201261e+00,-4.619053117e+00,9.132139139e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35471,-0.35288,0.00074,-1.674175964e+00,-3.256489714e-01,6.995989368e-01,4.378216250e+00,-8.826012965e+00,8.741113598e+00,6.467839222e-01,-1.406986422e+00,-3.131512837e+00,3.763708911e-09,-2.027254240e-10,1.568931513e-09,1.468306865e-03,6.209940187e-04,-1.544319276e-02,6.469800930e-06,1.403191914e-06,1.268839622e-06,1.881345134e-04,6.984822623e-04,1.582538655e-04,2.199861035e-14,2.200660973e-14,2.633118850e-05,6.960100266e-14,6.960100255e-14,6.960100275e-14,1.694254224e-07,1.694541352e-07,1.694341919e-07,8.658085056e-02,3.121475877e+00,1.171511502e-04,-3.034895026e+00,0.000000000e+00,1,-4.852120113e-03,-9.101116770e-03,-2.302018105e-03,1.443709735e+00,-1.009552060e+01,-1.204532802e+01,2.730638093e-04,4.165306327e-04,2.426165783e-04,-1.448561855e+00,1.008641948e+01,1.204302601e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.7159076,5.128853052e-05,-3.095226636e-05,-3.526879001e-05,-4.613780415e-04,1.441729288e-03,-9.799322542e+00,10,6.467838319e-01,-1.406986328e+00,-6.138691330e-01,0.000000000e+00,0.000000000e+00,6.467842762e-01,-1.406985675e+00,-5.214002655e+00,8.419070801e+00,-1.097407377e+00,1.732299880e-13,1.732344994e-13,1.000000374e+02,1.020130780e-02,1.031178579e-02,-4.442938705e-07,-6.539642479e-07,4.600133522e+00,-8.419070801e+00,1.097407377e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35526,-0.35253,-0.00196,-1.714338256e+00,-2.940639321e-01,7.211004750e-01,5.075982431e+00,-9.115027790e+00,1.020239050e+01,6.467840974e-01,-1.406986500e+00,-4.220179886e+00,3.832561855e-09,-1.595064459e-10,1.468273232e-09,1.389821938e-03,7.053935247e-04,-1.551556058e-02,6.094454898e-06,1.392746229e-06,1.282013045e-06,1.980730740e-04,6.845890900e-04,2.020388975e-04,1.924911946e-14,1.925752524e-14,3.622520525e-05,6.962641376e-14,6.962641365e-14,6.962641385e-14,1.694844622e-07,1.695152684e-07,1.694955745e-07,8.658085056e-02,3.121475877e+00,1.171511502e-04,-3.034895026e+00,0.000000000e+00,1,-4.852120113e-03,-9.101116770e-03,-2.302018105e-03,1.443709735e+00,-1.009552060e+01,-1.204532802e+01,2.730638093e-04,4.165306327e-04,2.426165783e-04,-1.448561855e+00,1.008641948e+01,1.204302601e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.8159075,7.483677711e-05,-2.879291925e-05,-3.952862588e-05,8.329899312e-04,-1.328609154e-03,-9.797506819e+00,10,6.467838319e-01,-1.406986328e+00,-6.138691330e-01,0.000000000e+00,0.000000000e+00,6.467842762e-01,-1.406985675e+00,-5.214002655e+00,8.419070801e+00,-1.097407377e+00,1.732299880e-13,1.732344994e-13,1.000000374e+02,1.020130780e-02,1.031178579e-02,-4.442938705e-07,-6.539642479e-07,4.600133522e+00,-8.419070801e+00,1.097407377e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35483,-0.35401,0.00068,-1.958903238e+00,2.134377897e-01,9.696966464e-01,8.418984588e+00,-1.097355663e+00,1.343124239e+01,6.467843887e-01,-1.406985469e+00,-4.940033887e+00,7.808510262e-09,2.258097288e-09,-3.390661241e-09,-2.270793982e-03,1.298400630e-03,-2.193409345e-02,2.204718848e-06,1.291183163e-06,1.019237992e-06,2.013076582e-04,3.117825902e-04,1.249357719e-04,1.924966381e-14,1.925347801e-14,3.384744522e-05,6.965413482e-14,6.965413465e-14,6.965413501e-14,1.695019193e-07,1.695459529e-07,1.695135713e-07,-1.473891871e-02,5.789412783e+00,1.211378992e-04,-5.804151702e+00,0.000000000e+00,1,-2.237598906e-04,1.493151504e-02,-9.605187574e-03,1.370834576e+00,-1.004668604e+01,-1.244328720e+01,2.262535170e-04,2.197304612e-04,2.224121446e-04,-1.371058335e+00,1.006161755e+01,1.243368201e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
1681084482.9159074,1.830308965e-05,2.358337363e-06,-4.950435242e-05,-9.117206683e-04,-3.124886750e-03,-9.798889588e+00,10,6.467836256e-01,-1.406986276e+00,1.146478031e+00,0.000000000e+00,0.000000000e+00,6.467840195e-01,-1.406986865e+00,-4.470099528e+00,5.729365828e+00,-9.622226879e+00,1.710914858e-13,1.710947364e-13,1.000000351e+02,1.019743125e-02,1.029180695e-02,-3.939143071e-07,5.890655652e-07,5.616577559e+00,-5.729365828e+00,9.622226879e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1,0.35642,-0.35188,-0.00162,-1.651990679e+00,-3.146105939e-01,7.506668724e-01,5.341569968e+00,-9.185159737e+00,1.036290197e+01,6.467841086e-01,-1.406986590e+00,-4.226407052e+00,9.416617973e-09,2.816951347e-10,6.157670783e-10,9.456332432e-04,-3.627969426e-03,-3.264646351e-02,1.726640651e-06,1.072842723e-06,9.720057805e-07,1.897317478e-04,2.829989161e-04,9.970913260e-05,1.711102807e-14,1.711455116e-14,3.008766560e-05,6.968416576e-14,6.968416561e-14,6.968416615e-14,1.695043672e-07,1.695413505e-07,1.695004460e-07,5.670628379e-03,4.881256801e+00,1.189057004e-04,-4.875586173e+00,0.000000000e+00,1,-2.459231973e-03,-1.282986551e-02,-2.128657372e-03,1.560658498e+00,-1.147070135e+01,-1.296823560e+01,2.252654548e-04,2.338073600e-04,2.205831243e-04,-1.563117729e+00,1.145787148e+01,1.296610694e+01,0.000000000e+00,0.000000000e+00,0.000000000e+00,1
